,movies,year
714,thisboyslife_dialog.txt,1993
715,graduatethe_dialog.txt,1967
716,bountyhunterthe_dialog.txt,2016
717,sherlockholmes_dialog.txt,2009
718,takeshelter_dialog.txt,2011
719,jasonx_dialog.txt,2001
720,manhunter_dialog.txt,1986
721,blingringthe_dialog.txt,2013
722,warmsprings_dialog.txt,2020
723,jurassicparkthelostworld_dialog.txt,1997
724,chinatown_dialog.txt,1974
725,strangedays_dialog.txt,1995
726,afewgoodmen_dialog.txt,1992
727,repoman_dialog.txt,2015
728,pi_dialog.txt,1998
729,indianajonesiv_dialog.txt,2022
730,almostfamous_dialog.txt,2000
731,bachelorparty_dialog.txt,1984
732,shrek_dialog.txt,2001
733,anniehall_dialog.txt,1977
734,ticker_dialog.txt,2001
735,crimespree_dialog.txt,2003
736,wolfofwallstreetthe_dialog.txt,2013
737,feast_dialog.txt,2005
